Author-作者,Title-题名,Source-刊名,Year-年,Roll-卷,Period-期,PageCount-页码
田永江;陈竟华;赫红,从“尊重和保障人权”看工会的维权工作——学习党的十五大报告的体会,天津市工会管理干部学院学报,1999,,4,"""2-5"""
,工会工作必须突出依法维权——二论贯彻落实工会工作指导方针,工会理论与实践.中国工运学院学报,1999,,5,"""29-33"""
曾庆友;程龙,正确处理发挥桥梁和纽带作用与维权的辩证关系——湖南省西洞庭农场工会工作体会,中国农垦,1999,,5,"""23"""
何桂兰,工会必须依法维权治会,企业文明,1999,,4,"""38"""
刘木庆,履行工会职能 加大维权力度,疏导,1999,,4,"""36-37"""
甘道明,工会组织要高举依法维权的大旗,中国工运,1999,,8,"""23"""
翟锡昌,抓好新经济组织工会的组织建设和维权工作,中国工运,1999,,4,"""19"""
刘珩,推进工会法制化建设 依法维权 依法治会——谈《工会法》的修改,中国工运,1999,,3,"""6"""
杨友志;,对建立和完善平等协商及集体合同有关机制的探讨,工会理论研究.上海工会管理干部学院学报,1999,,3,29-31
,坚持依法维权建立协调有效的工作机制,工会理论与实践(中国工运学院学报),1999,,1,7月10日
台德谦,工会工作法制化刍议,工会理论与实践(中国工运学院学报),1999,,1,14-16
杨霞;,贯彻依法治国的基本方略 推进高校工会工作法制化,西南民族大学学报(人文社科版),1999,,S3,180-182
常青藤,迎接新世纪的高桥律师事务所,浦东开发,1999,,10,53-55
辛毓明,要维护外商投资企业职工的合法权益,山东省工会管理干部学院学报,1999,,5,18-20
黄重韬,积极探索工会工作创新发展的途径,疏导,1999,,3,26-27
李永安,进一步加强工会经审工作,中国工会财会,1999,,5,11月14日
张明胜;王鹏程;,新形势下做好农场工会工作的几点思考,兵团工运,1999,,4,4月6日
张庆兰;刘笑天;,依法维权的难点及对策,兵团工运,1999,,3,4月5日
舒明贵;,当前突出工会维权职能存在的问题及对策,工会理论研究.上海工会管理干部学院学报,2000,,6,"""17-19+34"""
张举;,浅论私营企业工会维权和保护机制,工会理论研究.上海工会管理干部学院学报,2000,,5,"""23-25"""
刘思容,略论工会维权的主要障碍及其对策,绵阳师范高等专科学校学报,2000,,3,"""91-96"""
欧阳骏,外资、私营、多镇企业工会的组建与维权中的几个问题,天津市工会管理干部学院学报,2000,,3,"""34-36"""
蒋得民,依法维权 加强监督 切实履行工会职能,兵团工运,2000,,10,"""18-19"""
,营造社区工会崭新的工作机制,工会理论研究.上海工会管理干部学院学报,2000,,4,9
阎建武,试论矿山下岗职工的利益保护问题,中国矿业,2000,,S2,357-359
蒋克东,义利平衡与国企改革中的工会,南京社会科学,2000,,S2,143-145
翁理忠,乡镇企业工会在推动乡镇企业发展中的重要作用,山东省工会管理干部学院学报,2000,,6,16-18
王晓旌,一个工会财务工作者的幸福,中国工会财会,2000,,12,43
姚国勇,安徽七建工会做好改制后的企业劳动保护工作,劳动保护,2000,,10,41
马新生;,勇于探索 不断创新 把握工会工作主动权,工会理论研究.上海工会管理干部学院学报,2000,,4,10月12日
赵世居,把新建企业工会工作作为党的一项重要工作来抓——关于衡水市新建企业工会工作的调查,中国工运,2000,,7,13-15
,新建企业组建工会知识问答,北京工人,2000,,7,4
辛长胜,企业改制与工会工作有关问题的思考,山东省工会管理干部学院学报,2000,,3,23-25
,论点集锦,政府法制,2000,,5,35
肖英萍,浅谈困难企业的维权工作,兵团工运,2000,,4,56-57
,来稿摘登,工会理论研究.上海工会管理干部学院学报,2000,,2,4
向晋山,抓住机遇 乘势而上 努力实现工会工作新突破,工会理论与实践.中国工运学院学报,2000,,1,34-35
马明伟,经济技术开发区工会在开拓中前进——全国经济技术开发区工会工作情况的报告,工会理论与实践.中国工运学院学报,2000,,1,36-38
李小润;,修改后的《工会法》在工会维权方面有哪些新突破,工友,2001,,12,"""11-12"""
,维了职工权 明了老板目 密云县鸿儒工贸有限公司工会维权见实效,工会博览,2001,,21,"""7"""
杨桂敏,工会维权职能实施难的原因探析,天津市工会管理干部学院学报,2001,,3,"""27-29"""
杨有为;,上级工会代表 下级工会维权的思考,工会理论研究.上海工会管理干部学院学报,2001,,4,"""23"""
王树森,要建立健全工会维权制度,工会博览,2001,,13,"""10-11"""
潘强,新工会法:把维权进行到底——访中华全国总工会法律工作部部长王雨辰,中国社会保障,2001,,12,"""12-13"""
刘援志,心相通情相融 情到深处功自成——北京第二印染厂工会维权纪实,工会博览,2001,,23,"""10-11"""
王红礼;,对工会维权的分析与思考,兵团工运,2001,,11,"""9-10+8"""
邢桂玲,关于当前国有企业工会做好维权工作的几点思考,工会理论与实践.中国工运学院学报,2001,,4,"""30-31"""
陈莹,“维权”是工会劳动保护工作的出发点和切入点,工会理论与实践.中国工运学院学报,2001,,4,"""46-49"""
良统义,突出维护职能 促进企业发展——北京统一食品有限公司工会维权有力度,工会博览,2001,,14,"""48-51"""
刘福元,工会工作的基本问题是维权问题——对全总工会工作“五突破一加强”实质的思考,工会论坛(山东省工会管理干部学院学报),2001,,2,"""13-14"""
周丕声;,工会依法维权的突出问题及其对策,工会理论研究.上海工会管理干部学院学报,2001,,2,"""27-29"""
武建军;,站在维权的前哨——记一二五团工会主席、劳动争议调解委员会主任王登科,兵团工运,2001,,3,"""4-5"""
,构筑维权保障线,兵团工运,2001,,2,"""20-21"""
岳其徽,维权是工会的天职,工会博览,2001,,24,"""7-8"""
张丁华,关于河南省私营企业工会组建和维权情况的调查报告,工会理论与实践.中国工运学院学报,2001,,6,"""5-9"""
本刊评论员;,强化法治 突出维权——学好、用好《工会法》,工会理论研究.上海工会管理干部学院学报,2001,,6,"""1"""
东宣,探索新建企业工会的维权方式——北京东城建立“三方协商机制”,工会博览,2001,,23,"""26"""
谢萍,对私营企业工会依法维权职能的思考,中国职工教育,2001,,10,"""29"""
邓可华,医院工会管理依法维权探讨,中国现代医学杂志,2001,,9,"""112"""
王秋强,维护维权者事关维权之成败,工会理论与实践.中国工运学院学报,2001,,4,"""32-34"""
叶华善;郭亚平;刘美阶;,"国企改制,工会组织如何维权",工友,2001,,7,"""34"""
何敬海,发挥工会特色 维护职工权益——北京京煤集团有限责任公司工会认真做好维权工作,工会博览,2001,,11,"""24-27"""
刘圣水,关于加强和改进工会工作的几点思考,天津市工会管理干部学院学报,2001,,2,"""44-46"""
翟乃超;,加强劳动保护工作 保障职工生命安全,工会理论研究.上海工会管理干部学院学报,2001,,2,"""30-32"""
沈新立,艰辛与欣慰的平衡——记突出维权职能的北京市昌平区工会,工会博览,2001,,5,"""18-19"""
王东风;,对实施修改后的《工会法》的几点思考,工友,2001,,12,13
柴万江;郭霞;,产权约束与工会维护,工会理论研究.上海工会管理干部学院学报,2001,,5,11月13日
赵惠惠;王岳明;,推进社区工会建设的思考,工会理论研究.上海工会管理干部学院学报,2001,,4,9月10日
陈光耀 ;杨大娟,职工权益的生命线──江门市总工会职工维权热线见闻,中国劳动,2001,,5,20
黄远志,充分发挥两个制度两个机制作用 更好地维护职工合法权益,工会理论与实践.中国工运学院学报,2001,,6,23-27
李毓毅;,实施新《工会法》的若干思考,工会理论研究.上海工会管理干部学院学报,2001,,6,4-6+10
江月,企业虽小作用大——国外中小企业的发展及建会工作,工会博览,2001,,22,53-55
,合肥:成立职工维权委员会,工会博览,2001,,21,61
王槐艾,关于建立劳动关系协调预警机制的思考,工会理论与实践.中国工运学院学报,2001,,5,9月11日
郑普宁,加强企业民主管理 保障职工主体地位,工会理论与实践.中国工运学院学报,2001,,5,44-45
邸春泰,浅议新形势下教育工会的职能作用,佳木斯大学社会科学学报,2001,,4,22
刘小红;,"维权,应把握时机",工友,2001,,9,40
陈德广;张宏;马秀兰;,襄阳县公路局把职工利益放在首位,工友,2001,,9,33
,大力推进开发区新建企业工会建设,中国工运,2001,,8,32-33
黄远志;,健全完善两个制度两个机制 最大限度地维护职工合法权益,工友,2001,,8,4月7日
金帜,多登这样的好文章,中国工会财会,2001,,8,41+40
湖南省总工会调查组,关于湖南省大型企业工会工作情况的调查,中国工运,2001,,7,17-18
唐宇;,维权报道的有效手法——工人报贯彻“三个代表”精神体会之一,新闻三昧,2001,,7,32-33
蒋玉屏;,两书一卡职工明明白白种地,兵团工运,2001,,7,38
毛劲松,以“四抓、四促”为目标 紧紧围绕“创建”做贡献——北京市邮政工会动员职工为“十五”建功立业,工会博览,2001,,13,42-44
郭从友,以“三个代表”为指导 开创工会工作新局面——记北京市十三陵水库管理处工会,工会博览,2001,,12,42-43
,各地工运信息,中国工运,2001,,6,46-47
庄音豪;,提高职工入会意识刍议,工会理论研究.上海工会管理干部学院学报,2001,,3,58-59
吴红星;,新建外资企业工会工作刍议,工会理论研究.上海工会管理干部学院学报,2001,,3,73-74
,党群工作创新的探索与实践,四川石油经济,2001,,3,50
王毅坚,建“职工之家”就是建“维护”机制——我当工会主席的几点体会,工会博览,2001,,9,22-23
许小健,为实现“十五”计划建功立业——北京市海淀区工会狠抓两个文明建设,工会博览,2001,,9,36-38
厉元畏;,工会工作要适应经济全球化的发展,工会理论研究.上海工会管理干部学院学报,2001,,2,6月7日
田克宁,“加强”必先“强身” “强身”才能突破——关于贯彻全总“五突破一加强”工作思路的思考,工会论坛(山东省工会管理干部学院学报),2001,,1,17-18
伟兴;,一份突如其来的解雇书,工友,2001,,3,34-35
李青颖,浅谈如何运用典型推动工作,工会理论与实践.中国工运学院学报,2001,,1,68-70
陈振玉,行得春风化春雨——葫芦岛市总工会维权工作纪实,中国工运,2001,,2,32
,新世纪 新思路 新举措——上海市区县局产业工会主席笔谈纪要,工会理论研究.上海工会管理干部学院学报,2001,,1,6月7日
曾方;,职工持股会给工会工作带来的机遇和挑战,工友,2001,,2,15
,全总将把维护职工安全健康合法权益作为工会工作的突出任务,劳动保护,2001,,1,4月5日
郑玲;高克斌;孟庆英,工会工作创新的几点思考,工会论坛(山东省工会管理干部学院学报),2002,,6,16-17
张雪林,高校工会履行好维权职责的思考,工会论坛(山东省工会管理干部学院学报),2002,,6,39-40
吴志明,以《工会法》为契机 切实做好依法维权工作,求实,2002,,S1,217
张秋俭,贯彻党的十六大精神 推动工会理论创新,工会理论与实践.中国工运学院学报,2002,,6,1月2日
李贺,用十六大精神指导 企业工会工作创新,中国工运,2002,,12,16-17
杨海风,农一师棉麻公司用集体合同构筑维权长效机制,兵团工运,2002,,12,18
叶小英;,用发展着的马克思主义指导工会新的实践,工会理论研究.上海工会管理干部学院学报,2002,,6,15-16
董信泰;,与时俱进地审视维权需求的演进,工会理论研究.上海工会管理干部学院学报,2002,,6,17-18
海志;,“养老所”与“孵化器”,工会理论研究.上海工会管理干部学院学报,2002,,6,19
屠国明;,突出依法维权 体现上海特色——浅谈修改后的《上海市工会条例》,工会理论研究.上海工会管理干部学院学报,2002,,6,22-23+30
梁若洁;,撑起导引工运的大旗——试谈工人报的出路与优势,新闻三昧,2002,,12,33-35
户海印,抓住契机 落实维护职能,工会博览,2002,,23,21-24
彭静文,"浅谈新时期工会""维权""职能的调整",常熟高专学报,2002,,6,115-116
王秋顺;张书恩;,对基层央行工会维权工作的调查,河北金融,2002,,11,51-52
张吉会,对工会维权两个根本机制的再认识,工会论坛(山东省工会管理干部学院学报),2002,,5,7月8日
朱杰,工会维权应坚持三个原则,工会论坛(山东省工会管理干部学院学报),2002,,5,39
郝君,北京市总工会女职工委员会 召开“心系新人”健康教育活动课堂动员大会,工会博览,2002,,22,17
金筱端;祁宏宁,依法维权一个也不能少——对中力集团工会组织临时工入会情况的调查,中国工运,2002,,11,24
,各地工运信息,中国工运,2002,,11,44-45
李军燕,工会要代表和维护劳动者的劳动权益——学习十六大报告有关劳动者劳动权益的体会,石油管理干部学院学报,2002,,4,37-39
武秀丽,贯彻“三个代表”重要思想做好新时期工会“维权”工作,吉林工学院学报(高教研究版),2002,,4,28-29
吴芝林;,从强化维权看入世后工会工作新定位,华夏星火,2002,,11,76-77
郭大成,履行基本职责 推进民主建设——学习贯彻《工会法》的体会,工会博览,2002,,21,6月9日
怀富,工会与企业奏出了和谐乐章——记北京怀柔富特波尔公司主动协助工会维权,工会博览,2002,,21,21
李增仁;,"维权,路在何方——对人民银行石家庄中心支行维护职工权益状况的调查和前瞻",河北金融,2002,,10,6月7日
余玉兰,"加强工会集体谈判能力,应对劳动关系国际化挑战",中共杭州市委党校学报,2002,,5,55-57
刘宏杰,科学管理下的工会发展——兼论我国私营企业工会建设,山东行政学院山东省经济管理干部学院学报,2002,,5,5月6日
王文华,突出维护职能 保护职工合法权益——谈谈我做工会工作的体会,工会博览,2002,,20,25-27
颜琴,浅谈工会维权的有效机制,工会理论与实践.中国工运学院学报,2002,,5,27-29
陈莹,对当前工会劳动保护工作的思考,工会理论与实践.中国工运学院学报,2002,,5,30-33
王如华,新建企业工会组建工作的调查与思考,工会理论与实践.中国工运学院学报,2002,,5,38-40
张丁华,大力加强县级工会工作,中国工运,2002,,10,20-21
,学习李贺模范履行工会的基本职责——工会主席畅谈学习李贺精神,中国工运,2002,,10,22-23
宫慧文,马钢工会围绕中心促维权,中国工运,2002,,10,39-40
梁凯华,浅谈增强工会干部的创新意识和能力,中国工运,2002,,10,41
戴长林,翼城县总工会依法维权的启示,中国职工教育,2002,,10,42
林裕良;,论法律援助在工会维权中的运用,工会理论研究.上海工会管理干部学院学报,2002,,5,30-32
姜列青;,新时期俄罗斯工会的理论和组织建设,工会理论研究.上海工会管理干部学院学报,2002,,5,45-47
张友苏,高校工会目前的任务,湖南医科大学学报(社会科学版),2002,,3,55-56
赵映林,经济全球化与《工会法》实施中存在的问题,工会论坛(山东省工会管理干部学院学报),2002,,4,14-16
刘平昌,深刻理解工会组织的维护职能,工会论坛(山东省工会管理干部学院学报),2002,,4,25-26
张冬欣,探索工会维护新路子——北京住总正荣公司工会建立和完善四个机制的调查,工会博览,2002,,18,10月13日
佟秀英,“维护职工权益”从“三全”抓起,工会博览,2002,,18,18-21
吴线,把握维权主脉 注重源头参与——北京市电话局四区局工会建家侧记,工会博览,2002,,18,72-73
孙万美,实践“三个代表”要求 加强改制企业维权工作,中国工运,2002,,9,29-30
赵庆,收好 管好 用好工会经费为工运事业服务,兵团工运,2002,,9,5
王行,农三师工会举办《工会法》培训班,兵团工运,2002,,9,18
汪玲瑛,两厂改制 工会维权,兵团工运,2002,,9,19
郭振纲,强化工会维权的刚性支持,兵团工运,2002,,9,41
李传海;,"维权,工人报的生命",新闻三昧,2002,,9,34-35
,北京东方化工厂工会为所属合资企业职工维权,工会博览,2002,,17,15
,建立“五大机制” 创造性履行工会职能——武钢工会工作十年回顾,武钢政工,2002,,9,29-33
东工,北京市东华门街道社区工会为职工撑起维权之“伞”,工会博览,2002,,16,19
,汇丰银行北京分行组成沟通委员会 搭起一座相互理解的桥梁,工会博览,2002,,16,20
薛霞英,加大工会维权力度 深刻认识基本职责,兵团工运,2002,,8,9
付建庄,八十六团工会大力加强工会自身建设和制度建设,兵团工运,2002,,8,17
胡建兵,一个工会主席的维权斗争,政府法制,2002,,8,30-32
周炜;,试论工会维权与提高职工素质,工会理论研究.上海工会管理干部学院学报,2002,,4,35-36+26
黄林林;,大桥局推行职工持股制度一年回眸,工友,2002,,8,30-31
,高层言论,领导决策信息,2002,,31,8
张静,入世对我国工人、工会的影响及对策,工会论坛(山东省工会管理干部学院学报),2002,,3,8月9日
孙腾运;杜保才;李金水,维护职工合法权益是工会的基本职责,工会论坛(山东省工会管理干部学院学报),2002,,3,28-29
田家泉,学习贯彻《工会法》 提高工会干部法律素质,工会论坛(山东省工会管理干部学院学报),2002,,3,30
耿爱国,“维护”是对工会的基本要求——学习修改后的《工会法》体会,工会博览,2002,,14,4月5日
齐水;龚彦,搞好宏观参与促进维权工作——近年来工会宏观参与工作的实践与思考,中国工运,2002,,7,21-25
邹力行,工会“维权”必备三要素,中国职工教育,2002,,7,39
北工,工会组织要向维护型转变,兵团工运,2002,,7,28
唐左;,铁四院工会为企业发展聚力,工友,2002,,7,17-18
李芃;,《工会法》为工会维权工作提供了法律保障,工友,2002,,7,41
工,博士伦公司工会把好职工劳动合同文本的关口,工会博览,2002,,13,22
李成莲,浅谈高校工会维权职能,长春工程学院学报(社会科学版),2002,,2,62-64
李喜连,浅论工会在思想政治工作中的作用,甘肃行政学院学报,2002,,2,35-36
陈杰,工会组织要突出依法维权的力度——学习《工会法》体会,工会博览,2002,,12,4月5日
晋珊元,贯彻执行《工会法》 维护职工合法权益,工会理论与实践.中国工运学院学报,2002,,3,29-31
环俊仁;苏燕;孙志毅,乡镇工会履行维护职能的一项重要举措——如皋市总工会全面开通“维权热线”的实践,中国工运,2002,,6,24
黄新民,WTO与工会维权,中国职工教育,2002,,6,32-33
赵红岩,为职工撑起一片蔚蓝的天——一二六团工会依法协商重在实效,兵团工运,2002,,6,8
本刊评论员;,开创社区工会新天地,工会理论研究.上海工会管理干部学院学报,2002,,3,1
冯国连;,WTO对学校工会工作的影响及对策,工会理论研究.上海工会管理干部学院学报,2002,,3,8月9日
周文芳;,构筑两个平台 建立四个机制 实现八个基本,工会理论研究.上海工会管理干部学院学报,2002,,3,16-18
王山;,维护职工合法权益 提升职工综合素质,工会理论研究.上海工会管理干部学院学报,2002,,3,38-39
,中共黄石市铁山区委员会关于加强新建企业工会工作的意见,工友,2002,,6,18-19
张恒俊;,“维权”写在蓝天上——“入世”后的民航企业工会“维权”之路小议,中外企业家,2002,,6,21-23
吴昌农;,对企业工会维权的探讨,武钢政工,2002,,6,36-37
赵映林,WTO框架下的工会应对与维权,工会论坛(山东省工会管理干部学院学报),2002,,2,8月11日
郭增印,工会组织在维权中应把握的原则和要处理好的关系,工会博览,2002,,10,6月7日
张恒俊,“维权”写在蓝天上——民航企业工会“维权”小议,中国职工教育,2002,,5,29
杜彦,构建工会维权工作的新平台,中国职工教育,2002,,5,33
朱燕,关于做好高校女教职工工作的思考,华北科技学院学报,2002,,2,97-98
姬明富 ;苏建武 ;宋金阳 ;张智涛,工会依法维权的几个要点,交通企业管理,2002,,5,34-35
袁火焱;,"浠水县总工会常务副主席袁火焱认为:维权,首先要维护劳权",工友,2002,,5,29
李文学,建会有突破 发挥作用强——北京大兴区瀛海镇新建企业工会敢为职工挑大梁,工会博览,2002,,9,15-16
李延梅,做好加入WTO后的工会工作,工会博览,2002,,9,26-29
,湖东电力机务段工会建立维权接待日制度,工会博览,2002,,8,47
阚兆国,努力探索维护困难职工群体利益工作的新路子,工会理论与实践.中国工运学院学报,2002,,2,39-41
赵树然;张书卿,不断探索开发区女职工工作的有效途径,工会理论与实践.中国工运学院学报,2002,,2,54-56
刘群星,工会工作要与时俱进,中国职工教育,2002,,4,8
鲁洁,维护女工权益 促进经济发展,兵团工运,2002,,4,6
王泽民;,应适当增加工会维权经费预算,工友,2002,,4,21
岑孔德,工会维权工作也应创新,工会博览,2002,,7,17-18
,北京十三陵明皇蜡像宫工会实实在在为职工维权,工会博览,2002,,7,23
潘广国,实行工资集体协商制度要处理好三个关系,工会博览,2002,,7,32
李晶慧,关于新时期高校教育工会工作的思考,佳木斯大学社会科学学报,2002,,1,111
曹树枚,工会干部的维权素质以及提高途径,工会论坛(山东省工会管理干部学院学报),2002,,1,7月8日
赵华奎,加强改制企业工会工作的思考与建议,工会论坛(山东省工会管理干部学院学报),2002,,1,26-28
徐金源,《工会法》中的一、二、三、四、五——学习修改后的《工会法》的体会,工会博览,2002,,6,10月11日
天文 ;妍延,抓机制建设 促工会维权———大连开发区总工会建机制促维权纪实与启示,中国工运,2002,,3,11-14+26
,江苏省总工会提出《关于建机制办实事更好地维护困难职工群体合法权益的意见》,中国工运,2002,,3,28
王春晖,以贯彻实施《工会法》为契机 抓机制转作风 办实事求实效,兵团工运,2002,,3,1
闵坤斌,让《工会法》实符其名,兵团工运,2002,,3,38
,领导吹风,工友,2002,,3,4
张浩;,关于新形势下做好“维权”工作的思考,南方论刊,2002,,3,17-18
王林虎,维护职工的安全与健康是工会维权的重头戏——学习《工会法》的体会,工会博览,2002,,5,7月9日
孙强,牢记党的宗旨 改进工作作风——谈谈我当工会主席的体会,工会博览,2002,,5,29-30
欧阳纯兵 ;周家祥,积极营造工会工作的“五项工程”,政工研究动态,2002,,5,16
秦中忠;韩秀玲,突出维护职能是修改《工会法》沿循的主线,工会理论与实践.中国工运学院学报,2002,,1,1月3日
苗丰仁;林宸家;王建翎,“入世”后我国工会亟待解决的几个问题,工会理论与实践.中国工运学院学报,2002,,1,47-50
刘加顺 ;王传洪 ;于世平,强化维权基本职责在服务大局中发挥作用——记山东省“模范职工之家”东辛采油厂工会,中国工运,2002,,2,29
王新雨;刘耕,"顺应时势,迎接挑战——关于贯彻落实《工会法》的几点思考",天津市工会管理干部学院学报,2002,,1,15-17
赵云生,今年劳动人事十大政策,青年探索,2002,,1,51
刘乐友;,试析新工会法维权的现实意义,黄石教育学院学报,2002,,1,80-83
本刊编辑部;,注重维护在岗和下岗职工群体的合法权益,工友,2002,,2,1
黄远志;,加强政策维护,工友,2002,,2,4月6日
王万友;,话说县级工会工作,工友,2002,,2,10月11日
方开国;,关于工会维权方式的一点思考,工友,2002,,2,12月13日
,老河口市总工会推行一代理、二审议、三禁止维权机制,工友,2002,,2,13
杨庆临,在维护中发挥工会思想政治工作作用,工会博览,2002,,3,24-26
姜列青,培训与维护并举——俄罗斯国家公务员工会的培训和维权活动,工会博览,2002,,3,64-66
李增仁;,积极依托法律保障 努力做好工会工作——写在新《工会法》颁布之际,河北金融,2002,,1,7月8日
胡大枝 ;褚立香,外资企业工会工作的一面旗帜——北京市怀柔县兴发水泥有限公司工会工作成效显著,工会博览,2002,,2,29-31
,公司成立六年进行五次工资谈判——南口斯凯孚工会维权落在实处,工会博览,2002,,2,33
李玲惠,对维护困难职工权益的思考,政工研究动态,2002,,Z1,20
黄海霞,工会要维权 维权要依法,瞭望新闻周刊,2002,,3,30-31
吴汝炜,关于完善兵、师领导机关民主监督机制的几点思考——学习修改后的《工会法》体会,兵团工运,2002,,1,4月5日
陈锦英,企业破产工会做些什么,兵团工运,2002,,1,11
阿计,女工受辱引出的话题:谁来维护普通劳动者的权益——《工会法》执法、修订纪实(上),政府法制,2002,,1,17-21
周学文;,对工会维权工作的几点建议,工友,2002,,1,40-41
欧阳光磊;,修改后的《工会法》预示了工会工作的三大发展趋势,工友,2002,,1,35
赵国民;,十堰市总维权出实招,工友,2002,,1,38-39
,村级“小”工会 维权大作为——鄂州凤凰街菜元头村工会工作采撷,工友,2002,,1,42-43
杜大夭;,西塞山构筑维权路,工友,2002,,1,44
王惠兰,为建会提供法律保障 为维权进行保驾护航——深入学习《工会法》之我见,工会博览,2002,,1,10月12日
郭向阳;祝建平;陶银生,浅谈工会维权的发展与创新,工会论坛(山东省工会管理干部学院学报),2003,,6,"""7-8"""
罗玲玲,市场经济体制下工会维权职能探析,经济体制改革,2003,,6,"""151-154"""
,创办职工维权服务中心 打造工会维权品牌,中国工运,2003,,12,"""22-23"""
于波 ;段峥,北京住六欣跃公司注重工会维权,工会博览,2003,,22,"""17"""
张玉梅,从劳动关系的解除看工会维权作用的发挥,工会理论与实践.中国工运学院学报,2003,,5,"""7-8"""
,创办职工维权服务中心 打造工会维权品牌,宁波通讯,2003,,10,"""17"""
杨志磊,工会维权应抓住“四点”,工会博览,2003,,19,"""10-12"""
陈姝蓉,适应新形势 探索工会维权新路子,中共桂林市委党校学报,2003,,3,"""50-52"""
冷继琼,“三个代表”重要思想对工会维权工作创新的指导意义,黔西南民族师范高等专科学校学报,2003,,3,"""17-18"""
张吉会,对新时期工会维权工作的思考,胜利油田党校学报,2003,,5,"""100"""
章迪诚,论加强工会的维权能力建设,工会论坛(山东省工会管理干部学院学报),2003,,3,"""1-3"""
郭金贤,关于非公企业工会维权的几点思考,工会博览,2003,,14,"""16-18"""
沈琴琴,改革发展中的劳动就业与工会的维权工作,工会理论与实践.中国工运学院学报,2003,,2,"""6-10"""
陶志宁,完善维权机制 发挥独特作用——关于加强企业工会工作的群众性与自主性的思考,工会博览,2003,,8,"""11-13"""
贺玉萍,关于对工会维权机制的思考,兵团工运,2003,,4,"""4"""
陶志勇,入世对中国工会维权工作的影响及对策,天津市工会管理干部学院学报,2003,,1,"""3-7"""
李宝玉,工会干部维权必须具备六项基本功,工会论坛(山东省工会管理干部学院学报),2003,,5,"""7-8"""
张列英,浅谈新形势下加强工会维权机制建设,兵团工运,2003,,11,"""7"""
楠梓,七十一团工会成立维权服务站,兵团工运,2003,,11,"""26"""
方建洲;,工会维权的两面性——双维、双赢,工友,2003,,11,"""27"""
王根宝,双赢:私营企业工会工作的价值取向——关于私营企业工会维权工作的思考,工会理论与实践.中国工运学院学报,2003,,5,"""25-27"""
